city,locality,bhk,bathrooms,area_sqft,price_inr
Thane,Lodha Splendora,2,2.0,701.0,11500000.0
Thane,Lokpuram Complex,1,1.0,330.0,5500000.0
Thane,Lodha Palava Lakeshore Greens,3,3.0,838.0,7400000.0
Thane,Lodha Lakeshore Greens,1,1.0,538.0,4000000.0
Thane,Unknown,3,2.0,770.0,12000000.0
Thane,Unknown,2,2.0,680.0,6500000.0
Thane,Mittal Park,2,2.0,660.0,22500000.0
Thane,Hiranandani Brookhill,4,4.0,1820.0,42500000.0
Thane,Unknown,2,2.0,715.0,2500000.0
Thane,Osho Dhara Residency,1,1.0,400.0,4500000.0
Thane,Unknown,3,3.0,826.0,10000000.0
Thane,Tata Serein,2,2.0,722.0,21500000.0
Thane,Unknown,1,1.0,480.0,3500000.0
Thane,Atmabandhu Arcade CHS,3,2.0,1210.0,22500000.0
Thane,Unknown,2,2.0,660.0,3500000.0
Thane,Unknown,2,2.0,700.0,12000000.0
Thane,Unknown,1,1.0,700.0,3600000.0
Thane,Vijay Garden,1,1.0,415.0,5450000.0
Thane,Mohan Nano Estates,1,1.0,700.0,3200000.0
Thane,Unknown,3,3.0,820.0,8800000.0
Thane,Kalpa Taru Siddhachal 3,2,2.0,755.0,15600000.0
Thane,Unknown,1,1.0,450.0,4200000.0
Thane,Prakruti Park,1,1.0,400.0,5200000.0
Thane,Puraniks Capitol,2,2.0,668.0,9000000.0
Thane,Vijay Annex,1,1.0,410.0,5300000.0
Thane,Vrindavan Apartment,2,2.0,700.0,11000000.0
Thane,Unknown,1,1.0,527.0,8700000.0
Thane,Unknown,3,2.0,800.0,6200000.0
Thane,Anmol Gardens,1,2.0,560.0,2800000.0
Thane,Unknown,1,1.0,450.0,4500000.0
Thane,Dahlia,3,3.0,856.0,8900000.0
Thane,PurnShanti Heights,3,3.0,1120.0,19000000.0
Thane,Unknown,2,2.0,480.0,9600000.0
Thane,Neelkanth Greens,1,1.0,600.0,8300000.0
Thane,Regency Sarvam,1,1.0,475.0,3300000.0
Thane,Unnathi Woods 1,1,2.0,400.0,5800000.0
Thane,Unknown,2,2.0,749.0,5800000.0
Thane,Vasant Fiona,1,2.0,612.0,8500000.0
Thane,Unknown,1,1.0,480.0,11000000.0
Thane,Unknown,1,1.0,590.0,3500000.0
Thane,Saptashree Heights,2,2.0,636.0,11299999.999999998
Thane,Pride Residency,1,2.0,577.0,6000000.0
Thane,Unknown,1,1.0,400.0,2500000.0
Thane,Unknown,1,1.0,600.0,4000000.0
Thane,Pallavi CHS,1,2.0,450.0,5000000.0
Thane,Unknown,2,1.0,585.0,3500000.0
Thane,Lodha Splendora,2,2.0,771.0,9600000.0
Thane,Unknown,1,1.0,525.0,2700000.0
Thane,Dynamix Parkwoods,3,3.0,1000.0,15500000.0
Thane,Unknown,1,1.0,464.0,7600000.0
Thane,Saptashree Heights,2,2.0,636.0,11100000.000000002
Thane,Ashok Nagar,1,2.0,475.0,6800000.0
Thane,Unknown,2,2.0,727.0,7500000.0
Thane,Vihang Vermont,1,2.0,440.0,6200000.0
Thane,Haware estate,2,2.0,700.0,7300000.0
Thane,Unknown,1,1.0,420.0,7500000.0
Thane,Krishna Vihar,2,2.0,656.0,5400000.0
Thane,Karrm Residency,2,2.0,750.0,2000000.0
Thane,Runwal Estate Building No B1 B2 B3 Chs Ltd,2,2.0,666.0,10000000.0
Thane,Runwal Estate,1,1.0,410.0,4500000.0
Thane,Runwal Estate,1,1.0,455.0,4800000.0
Thane,Runwal Estate,1,1.0,450.0,4800000.0
Thane,Unknown,1,,468.0,9000000.0
Thane,Sneh Serene,1,2.0,401.0,4200000.0
Thane,Dosti Desire Phase 2,2,2.0,650.0,12200000.0
Thane,Cosmos Mary Park,2,2.0,990.0,16000000.0
Thane,Royal Residency,4,3.0,1115.0,20000000.0
Thane,Sai Flora,1,1.0,555.0,3000000.0
Thane,Bhoomi Acres Phase 2,1,2.0,450.0,7550000.0
Thane,Om Sai Apartment,1,2.0,460.0,2800000.0
Thane,Unknown,1,1.0,490.0,2700000.0
Thane,Unknown,1,1.0,380.0,2600000.0
Thane,Unknown,3,3.0,915.0,8000000.0
Thane,Unknown,2,2.0,635.0,3300000.0
Thane,Coral Heights,1,2.0,445.0,6800000.0
Thane,Krishna Square,2,2.0,756.0,9500000.0
Thane,One Hiranandani Park,3,3.0,910.0,23500000.0
Thane,One Hiranandani Park,2,2.0,559.0,15000000.0
Thane,Unknown,1,1.0,511.0,9500000.0
Thane,Vijay Orion,3,3.0,1500.0,24000000.0
Thane,Unknown,2,2.0,504.0,4500000.0
Thane,Unknown,1,1.0,350.0,2000000.0
Thane,Ammar Meadows,1,2.0,450.0,3950000.0
Thane,Royal Park,1,1.0,550.0,3500000.0
Thane,Unknown,1,1.0,455.0,4200000.0
Thane,TenX Habitat Raymond Realty,2,2.0,635.0,15300000.0
Thane,Unknown,1,2.0,450.0,2380000.0
Thane,Unknown,1,1.0,450.0,2500000.0
Thane,Tharwani Vedant Nakshatra,1,1.0,704.0,2900000.0
Thane,Unknown,3,3.0,1000.0,16500000.0
Thane,Unknown,1,1.0,620.0,5100000.0
Thane,Cosmos Horizon,2,2.0,950.0,9500000.0
Thane,Hiranandani Estate The Walk,2,2.0,570.0,15500000.0
Thane,Unknown,2,2.0,717.0,13899999.999999998
Thane,Sheth Avalon,2,2.0,767.0,17000000.0
Thane,Cosmos Horizon,2,2.0,1100.0,10000000.0
Thane,Saptashree Heights,2,2.0,650.0,10900000.0
Thane,Unknown,1,1.0,370.0,3000000.0
Thane,Unknown,2,2.0,800.0,8600000.0
Thane,Crown Lodha Quality Homes,1,1.0,370.0,5300000.0
Thane,Unknown,1,1.0,430.0,3800000.0
Thane,Unknown,1,1.0,450.0,3900000.0
Thane,Unknown,2,2.0,780.0,12100000.0
Thane,Saptashree Heights,2,2.0,636.0,11000000.0
Thane,Unknown,3,2.0,930.0,21000000.0
Thane,Shree Samarth Complex,1,1.0,430.0,5200000.0
Thane,Unknown,1,1.0,630.0,1800000.0
Thane,Wadhwa Evergreen Heights,2,2.0,600.0,11000000.0
Thane,Unknown,2,2.0,640.0,6200000.0
Thane,Unknown,1,1.0,540.0,3800000.0
Thane,Panvelkar Estate II,1,1.0,388.0,2050000.0
Thane,Fiama Residency,1,2.0,435.0,3900000.0
Thane,Swastik Park,1,1.0,300.0,4000000.0
Thane,Unnati Woods,1,2.0,410.0,6000000.0
Thane,Project Hiranandani Meadows,3,3.0,1290.0,21000000.0
Thane,Unknown,2,2.0,840.0,9500000.0
Thane,Saptashree Heights,2,2.0,636.0,11200000.000000002
Thane,Godrej Vihang,3,3.0,940.0,17000000.0
Thane,Sidheshwar Plams,1,2.0,475.0,4200000.0
Thane,Jainam Residency,1,1.0,468.0,2500000.0
Thane,Unknown,1,1.0,495.0,4500000.0
Thane,Hiranandani Estate Casablanca,3,3.0,1250.0,24500000.0
Thane,Puraniks Hometown,1,2.0,450.0,4900000.0
Thane,Unknown,2,2.0,818.0,18100000.0
Thane,Unknown,2,2.0,670.0,6000000.0
Thane,Lodha Palava City,1,1.0,580.0,4500000.0
Thane,Pranjee Garden City,2,2.0,940.0,4500000.0
Thane,Lodha Casa Bella Gold,2,2.0,584.0,4500000.0
Thane,Satyam Oleander,2,2.0,640.0,3000000.0
Thane,The Verraton,3,3.0,1260.0,25000000.0
Thane,Unknown,1,2.0,650.0,2900000.0
Thane,Unknown,2,2.0,700.0,6800000.0
Thane,Lalani Residency,1,2.0,430.0,7200000.0
Thane,Unknown,1,1.0,395.0,1250000.0
Thane,Unknown,3,2.0,844.0,17500000.0
Thane,Puraniks Hometown,1,2.0,450.0,5000000.0
Thane,Lodha Amara,3,3.0,1800.0,18000000.0
Thane,Unknown,1,1.0,453.0,7500000.0
Thane,Unknown,1,2.0,441.0,2400000.0
Thane,Mohan Nano Estates,1,1.0,420.0,2200000.0
Thane,Unknown,1,2.0,450.0,8200000.0
Thane,Daisy Gardens,1,2.0,430.0,2500000.0
Thane,Neelkanth Height,2,2.0,676.0,15500000.0
Thane,Fairfield A.Lodha Luxuria,3,3.0,1115.0,21000000.0
Thane,Parkwood,3,3.0,950.0,16000000.0
Thane,Unknown,1,1.0,400.0,4300000.0
Thane,Prakruti Park,1,1.0,400.0,4500000.0
Thane,Sunrise by Kalpataru,2,2.0,530.0,10500000.0
Thane,Unknown,1,1.0,636.0,7000000.0
Thane,Cosmos Lounge,2,2.0,700.0,11500000.0
Thane,Vihang Valley,1,2.0,620.0,6000000.0
Thane,Unknown,1,1.0,501.0,4000000.0
Thane,Mohan Palms,1,1.0,695.0,3800000.0
Thane,Unknown,3,2.0,902.0,23000000.0
Thane,Soham Tropical Lagoon,3,3.0,1090.0,23500000.0
Thane,Unknown,3,4.0,1240.0,12500000.0
Thane,Green Avenue,2,2.0,640.0,6500000.0
